company_id,has_tracker,tracker_count,policy_disclosed,under_disclosure,over_disclosure,mismatch_label
MSM_20076,True,10,False,True,False,under_disclosure
MSM_20084,True,2,False,True,False,under_disclosure
MSM_20090,True,13,False,True,False,under_disclosure
MSM_20102,False,0,False,False,False,none
MSM_20119,True,19,False,True,False,under_disclosure
MSM_20126,False,0,False,False,False,none
MSM_20141,True,2,False,True,False,under_disclosure
MSM_20154,True,1,False,True,False,under_disclosure
MSM_20158,True,1,False,True,False,under_disclosure
MSM_20165,True,7,False,True,False,under_disclosure
MSM_20166,True,18,False,True,False,under_disclosure
MSM_20169,True,9,False,True,False,under_disclosure
MSM_20183,True,5,False,True,False,under_disclosure
MSM_20190,True,2,True,False,False,none
MSM_20205,True,7,False,True,False,under_disclosure
MSM_20210,True,35,False,True,False,under_disclosure
MSM_20225,True,4,False,True,False,under_disclosure
MSM_20248,True,1,False,True,False,under_disclosure
MSM_20254,True,3,False,True,False,under_disclosure
MSM_20274,True,31,False,True,False,under_disclosure
MSM_20275,True,7,False,True,False,under_disclosure
MSM_20280,False,0,False,False,False,none
MSM_20281,True,12,False,True,False,under_disclosure
MSM_20291,True,16,True,False,False,none
MSM_20295,True,7,False,True,False,under_disclosure
MSM_20310,False,0,False,False,False,none
MSM_20319,True,12,False,True,False,under_disclosure
MSM_20323,True,12,False,True,False,under_disclosure
MSM_20330,True,3,True,False,False,none
MSM_20332,True,10,True,False,False,none
MSM_20346,True,16,True,False,False,none
MSM_20386,True,10,False,True,False,under_disclosure
MSM_20393,False,0,False,False,False,none
MSM_20397,False,0,False,False,False,none
MSM_20416,True,7,False,True,False,under_disclosure
MSM_20425,True,11,False,True,False,under_disclosure
MSM_20429,True,7,False,True,False,under_disclosure
MSM_20439,True,10,False,True,False,under_disclosure
MSM_20455,True,1,True,False,False,none
MSM_20456,True,13,False,True,False,under_disclosure
MSM_20463,True,5,False,True,False,under_disclosure
MSM_20468,True,30,False,True,False,under_disclosure
MSM_20480,True,6,False,True,False,under_disclosure
MSM_20485,True,13,False,True,False,under_disclosure
MSM_20488,True,3,False,True,False,under_disclosure
MSM_20493,True,4,False,True,False,under_disclosure
MSM_20494,True,8,False,True,False,under_disclosure
MSM_20497,True,4,False,True,False,under_disclosure
MSM_20504,True,10,False,True,False,under_disclosure
MSM_20515,True,1,False,True,False,under_disclosure
MSM_20531,True,14,False,True,False,under_disclosure
MSM_20537,False,0,False,False,False,none
MSM_20544,True,6,False,True,False,under_disclosure
MSM_20546,True,37,False,True,False,under_disclosure
MSM_20557,True,9,False,True,False,under_disclosure
MSM_20558,True,4,True,False,False,none
